3;Character;Bad Education;The Piano Teacher;Kitchen Stories;Felicia's Journey;The Magdalene Sisters
5;The Rise and Fall of ECW;American Pie;Be Cool;They Live;Rocky III;Dave Chappelle: Killin' Them Softly
6;Sick;The Cook, the Thief, His Wife, and Her Lover;The Virgin Suicides;Spider;Cecil B. Demented;The Man Who Wasn't There
8;What the #$*! Do We Know!?;The Godfather;Trainspotting: Collector's Edition;The Bourne Supremacy;Collateral;In America
16;Screamers;Nightbreed;Dragonheart;Cube 2: Hypercube;Escape from the Planet of the Apes;Star Trek: The Motion Picture
17;7 Seconds;Resident Evil: Apocalypse;Windtalkers;Con Air;Tomb Raider;Broken Arrow
18;Immortal Beloved;The Last of the Mohicans;Run Lola Run;The Rocky Horror Picture Show;The Witches of Eastwick;Stand by Me
24;My Bloody Valentine;Christine: Special Edition;I Spit On Your Grave;Critters 2: The Main Course;The First Power;Killer Klowns from Outer Space
25;Inspector Morse 31: Death Is Now My Neighbour;The Madness of King George;MI-5: Vol. 1;MI-5: Vol. 2;The Lion in Winter;Murder on the Orient Express
26;Never Die Alone;Romeo Must Die;Formula 51;Ghost Ship;The Fast and the Furious;Cabin Fever
28;Lilo and Stitch;Runaway Bride;National Treasure;You've Got Mail;Gladiator;A Knight's Tale
30;Something's Gotta Give;Con Air;Raiders of the Lost Ark;Chocolat;The Aviator;Indiana Jones and the Last Crusade
32;ABC Primetime: Mel Gibson's The Passion of the Christ;Lethal Weapon 4;Sahara;Grease;Swiss Family Robinson;The General's Daughter
33;Aqua Teen Hunger Force: Vol. 1;Jackass: The Movie;Tommy Boy;American Psycho;Seven;Memento
44;Spitfire Grill;Message in a Bottle;Something to Talk About;Emma;The Rainmaker;A Walk in the Clouds
45;The Love Letter;28 Days;Serendipity;Pleasantville;Dying Young;Beautiful
46;Rudolph the Red-Nosed Reindeer;The Green Mile;The Lost World: Jurassic Park;Austin Powers: International Man of Mystery;Independence Day;Beauty and the Beast: Special Edition
47;The Bad and the Beautiful;Splendor in the Grass;Suspicion;Foreign Correspondent;Winchester '73;The Women
48;Justice League;A Bug's Life;The Mummy Returns;Predator: Collector's Edition;Spider-Man 2;Star Trek VI: The Undiscovered Country
52;The Weather Underground;My Architect: A Son's Journey;Uncovered: The War on Iraq;Children Underground;Dancer in the Dark;Frida
55;Jade;Daylight;Someone to Watch Over Me;The Last Boy Scout;Outbreak;Arachnophobia
56;Carandiru;Kolya;What Have I Done to Deserve This?;The Corporation;The Triplets of Belleville;Mean Creek
57;Richard III;Zelig;Romeo & Juliet;The 39 Steps;The Hudsucker Proxy;Hope and Glory
58;Dragonheart;Harry Potter and the Chamber of Secrets;Phenomenon;Species;A Bug's Life;The Hunt for Red October
68;Invader Zim;The Incredibles;Shaolin Soccer;Death to Smoochy;SpongeBob SquarePants: Home Sweet Pineapple;Spaceballs
71;Maya Lin: A Strong Clear Vision;Y Tu Mama Tambien;Adaptation;Amadeus;Lost in Translation;The Times of Harvey Milk
76;I Love Lucy: Season 2;Sanford and Son: Season 1;Everybody Loves Raymond: The Series Finale;Hogan's Heroes: Season 1;Friends: The Series Finale;Friends: Season 7
77;Congo;Reindeer Games;Independence Day;Road House;Rising Sun;The Terminator
78;Jingle All the Way;The Year Without a Santa Claus;Vegas Vacation;Mission to Mars;Gremlins;Lost in Space
79;The Killing;Annie Hall;Fitzcarraldo;Last Tango in Paris;Bonnie and Clyde;North by Northwest
81;Antarctica: IMAX;The Terminator;Caddyshack;The Shawshank Redemption: Special Edition;Crimson Tide;The Bridge on the River Kwai
83;Silkwood;Pretty Woman;Raising Arizona;A River Runs Through It;American Beauty;The Birdcage
84;The Powerpuff Girls Movie;The Rescuers;Batman: The Animated Series: Tales of the Dark Knight;The Hobbit;Fantasia;Final Fantasy: The Spirits Within
97;Mostly Martha;Butterfly;American Splendor;The Cuckoo;The Son's Room;A Room with a View: Special Edition
104;The Great Race;An American in Paris;The Horse Soldiers;His Girl Friday;Mr. Deeds Goes to Town;Heaven Can Wait
108;Spartan;We Were Soldiers;Die Hard;The School of Rock;National Treasure;Die Another Day
110;Scandal;Birdy;The Long Good Friday;All That Jazz;Bonnie and Clyde;Mighty Aphrodite
111;Duplex (Widescreen);There's Something About Mary: Special Edition;Guess Who;The Bourne Identity;The Girl Next Door;Ghost
113;Bruce Lee: A Warrior's Journey;Resident Evil;In Living Color: Season 2;Universal Soldier;Shanghai Noon;Superman: The Movie
116;Bear Cub;Bad Education;The Event;Die Mommie Die;Our Lady of the Assassins;Torch Song Trilogy
118;Rambo: First Blood Part II;The Scorpion King;War Games;XXX: Special Edition;The Mask of Zorro;Back to the Future
122;Cube 2: Hypercube;Wrong Turn;The Chronicles of Riddick;Stigmata;Freejack;Krull
125;Nighthawks;Road House;Foul Play;Hard Target;Death Warrant;Black Sunday
126;Vampire Effect (aka Twins Effect);Ichi the Killer;Shanghai Knights;Witch Hunter Robin;The Chronicles of Riddick;Five Deadly Venoms
127;Fatal Beauty;The Golden Child;Crocodile Dundee 2;Jaws 2;Bicentennial Man;The Presidio
133;Viva La Bam: Season 1;The Girl Next Door;Saturday Night Live: The Best of Mike Myers;Wayne's World 2;PCU;Orange County
138;Star Trek: Voyager: Season 1;MASH: Season 4;Highlander: Season 1;Alien 3: Collector's Edition;The Matrix: Reloaded;Men in Black
143;The Game;Dead Poets Society;Kiss the Girls;The Fifth Element;Titanic;The Breakfast Club
148;Sweet November;Big Daddy;The Mexican;Twister;Charlie's Angels;The Bachelor
152;A Little Princess;George of the Jungle;You've Got Mail;Spirit: Stallion of the Cimarron;Shrek 2;White Fang
156;Husbands and Wives;Happiness;Touch of Evil;The Royal Tenenbaums;Prizzi's Honor;The Front
165;Richard Pryor: Live on the Sunset Strip;Dirty Harry;Do the Right Thing;An American Werewolf in London;Falling Down;Full Metal Jacket
166;Fame;As Good as It Gets;Sleepless in Seattle;Witness;Mr. Holland's Opus;Sister Act
167;The Chorus;Under the Tuscan Sun;Bowling for Columbine;The Dinner Game;The Crime of Padre Amaro;About a Boy
168;Smokey and the Bandit Part 3;Weekend at Bernie's;Son in Law;Kickboxer;Taking Care of Business;Rocky III
171;Funny Face;North by Northwest;The Lion in Winter;Four Weddings and a Funeral;Dial M for Murder;Sabrina
173;The Devil's Brigade;Magnum Force;The Quiet Man;Paint Your Wagon;The Robe;Two Mules for Sister Sara
175;Reservoir Dogs;Monster's Ball;Men in Black;Rocky;The Italian Job;A Beautiful Mind
178;Regular Guys;Zus & Zo;My Beautiful Laundrette;The Event;The Celluloid Closet;Lawless Heart
180;Scratch;GoodFellas: Special Edition;Da Ali G Show: Season 1;American History X;Kill Bill: Vol. 2;The Man Who Wasn't There
181;The Last Shot;Cold Creek Manor;XXX: State of the Union;Veronica Guerin;The Merchant of Venice;Coach Carter
185;Missing in Action 2: The Beginning / Missing in Action 3: Braddock;The Green Berets;Harley Davidson and the Marlboro Man;Rocky V;Dante's Peak;Steel Dawn
187;Death to Smoochy;The School of Rock;Ace Ventura: Pet Detective;Swingers;Traffic;Three Amigos
188;Dead Birds;Poltergeist II / Poltergeist III: Double Feature;28 Days Later;Halloween 6: The Curse of Michael Myers;In the Mouth of Madness;Secret Window
189;Airplane II: The Sequel;Escape from New York;Rocky;Willy Wonka & the Chocolate Factory;Red Dawn;Batman Returns
191;X2: X-Men United;Total Recall;The Princess Bride;Enemy of the State;Pretty Woman;Die Another Day
197;Taking Lives;Braveheart;Ghost Ship;Lord of the Rings: The Two Towers;The Missing;Shark Tale
199;The Deer Hunter;Dead Poets Society;A Few Good Men;Training Day;Jurassic Park;American Graffiti: Collector's Edition
201;Home Movie;Dr. Strangelove;Memento;Heavenly Creatures;Koyaanisqatsi: Life Out of Balance;Mulholland Drive
206;Unconstitutional: The War on Our Civil Liberties;Ed Wood;Magnolia;Amadeus;This Is Spinal Tap;Easy Rider
208;The Three Stooges: Sing a Song of Six Pants;Star Trek: The Original Series: Vols. 29-40;Commando;Halloween;The Toy;The Twilight Zone: Vol. 28
209;Star Trek: Deep Space Nine: Season 5;Highlander: Unholy Alliance;Star Wars: Episode I: The Phantom Menace;X-Men;Planet of the Apes;The Abyss
213;Dinner Rush;Real Women Have Curves;Greenfingers;Happy Accidents;Confessions of a Dangerous Mind;State and Main
215;That '70s Show: Season 1;Old School;Office Space;Dodgeball: A True Underdog Story;Scary Movie;In Living Color: Season 1
216;Impostor;The Matrix: Revolutions;The Thirteenth Floor;The Score;Windtalkers;I, Robot
223;Chappelle's Show: Season 1;Gladiator;Requiem for a Dream;Ghostbusters;Simpsons Gone Wild;Star Wars: Episode VI: Return of the Jedi
224;Midsomer Murders: Blood Will Out;Horatio Hornblower;Yes, Prime Minister: The Complete Collection;Daniel Deronda;The Vicar of Dibley: Series 2 and Specials;Keeping Up Appearances
225;The Cookout;After the Sunset;Enough;Hitch;I, Robot;The Nutty Professor II: The Klumps
227;The Carol Burnett Show: Show Stoppers;Dr. Seuss' The Cat in the Hat;Abbott & Costello Meet the Mummy;Cheers: Season 5;Best of The Muppet Show: Diana Ross / Brooke Shields / Rudolph Nuryev;The Ghost and Mrs. Muir
232;Gross Anatomy;The Object of My Affection;Honeymoon in Vegas;EDtv;The Jewel of the Nile;Only You
238;Led Zeppelin: The Song Remains the Same;High Plains Drifter;The Omen;Saturday Night Live: 25 Years of Music;Psycho;Planet of the Apes
239;Winnie the Pooh: Springtime with Roo;The Sword in the Stone;Treasure Planet;Dr. Seuss: Green Eggs and Ham and Other Favorites;VeggieTales: The Ballad of Little Joe;Dinosaur
240;Woman of the Year;Hello, Dolly!;Seven Brides for Seven Brothers: 50th Anniversary Edition;Splendor in the Grass;Wait Until Dark;The Caine Mutiny
241;North by Northwest;Gandhi;Ben-Hur: Collector's Edition;The Fugitive;Sideways;Saving Private Ryan
242;Neon Genesis Evangelion: The End of Evangelion;Samurai Jack: Season 1;Samurai Jack;Shaolin Soccer;Hero;Yu Yu Hakusho
248;Michael Moore's The Awful Truth: Season 2;Snatch;Trainspotting;Y Tu Mama Tambien;Hedwig and the Angry Inch;The Life Aquatic with Steve Zissou
